N: 20; d: 20
Valid 3: 0.76487 	 r2: 0.17260
Train 4: 0.79988 	 r2: 0.22100
Valid 4: 0.77164 	 r2: 0.18231
Train 5: 0.81124 	 r2: 0.23753
Valid 5: 0.78743 	 r2: 0.19321
Train 6: 0.82424 	 r2: 0.25774
Valid 6: 0.80005 	 r2: 0.21188
Train 7: 0.83203 	 r2: 0.26978
Valid 7: 0.80987 	 r2: 0.23066
Train 8: 0.83802 	 r2: 0.28042
Valid 8: 0.81374 	 r2: 0.23775
Train 9: 0.84251 	 r2: 0.28905
Valid 9: 0.81615 	 r2: 0.24402
Train 10: 0.84628 	 r2: 0.29684
Valid 10: 0.81754 	 r2: 0.24829
Train 11: 0.84946 	 r2: 0.30355
Valid 11: 0.81846 	 r2: 0.24966
Train 12: 0.85162 	 r2: 0.30816
Valid 12: 0.81892 	 r2: 0.24918
Train 13: 0.85341 	 r2: 0.31194
Valid 13: 0.81919 	 r2: 0.24852
Train 14: 0.85520 	 r2: 0.31578
Valid 14: 0.81917 	 r2: 0.24769
Train 15: 0.85681 	 r2: 0.31932
Valid 15: 0.81866 	 r2: 0.24679
Train 16: 0.85814 	 r2: 0.32228
Valid 16: 0.81740 	 r2: 0.24461
Train 17: 0.85982 	 r2: 0.32603
Valid 17: 0.81680 	 r2: 0.24125
Train 18: 0.86187 	 r2: 0.33074
Valid 18: 0.81763 	 r2: 0.24231
Finish: (0.8191871863888612, 0.24852215546600076)
Test 19: 0.83312 	 r2: 0.26620
N: 20; d: 40
Train 1: 0.59509 	 r2: -0.09370
Valid 1: 0.75702 	 r2: 0.15599
Train 2: 0.78716 	 r2: 0.19882
Valid 2: 0.76412 	 r2: 0.16882
Train 3: 0.79871 	 r2: 0.21926
Valid 3: 0.77446 	 r2: 0.18461
Train 4: 0.81267 	 r2: 0.23963
Valid 4: 0.78801 	 r2: 0.20178
Train 5: 0.82473 	 r2: 0.25848
Valid 5: 0.79821 	 r2: 0.20946
Train 6: 0.83330 	 r2: 0.27195
Valid 6: 0.81004 	 r2: 0.22567
Train 7: 0.84047 	 r2: 0.28441
Valid 7: 0.81587 	 r2: 0.24265
Train 8: 0.84824 	 r2: 0.30002
Valid 8: 0.82053 	 r2: 0.24911
Train 9: 0.85267 	 r2: 0.31006
Valid 9: 0.82096 	 r2: 0.24944
Train 10: 0.85635 	 r2: 0.31840
Valid 10: 0.82100 	 r2: 0.24873
Train 11: 0.85938 	 r2: 0.32540
Valid 11: 0.82074 	 r2: 0.24588
Train 12: 0.86199 	 r2: 0.33157
Valid 12: 0.82031 	 r2: 0.24207
Train 13: 0.86427 	 r2: 0.33693
Valid 13: 0.81981 	 r2: 0.23646
Train 14: 0.86574 	 r2: 0.34058
Valid 14: 0.81880 	 r2: 0.23223
Train 15: 0.86197 	 r2: 0.33165
Valid 15: 0.81284 	 r2: 0.22942
Finish: (0.8209981203249133, 0.2487252154092161)
Test 16: 0.83235 	 r2: 0.26309
Train 1: 0.56878 	 r2: -0.18805
Valid 1: 0.75532 	 r2: 0.13556
Train 2: 0.78276 	 r2: 0.19147
Valid 2: 0.76264 	 r2: 0.16197
Train 3: 0.79556 	 r2: 0.21396
Valid 3: 0.77017 	 r2: 0.18044
Train 4: 0.80818 	 r2: 0.23246
Valid 4: 0.78406 	 r2: 0.19802
Train 5: 0.82253 	 r2: 0.25477
Valid 5: 0.79616 	 r2: 0.21212
Train 6: 0.83385 	 r2: 0.27299
Valid 6: 0.80674 	 r2: 0.22499
Train 7: 0.84372 	 r2: 0.29130
Valid 7: 0.81598 	 r2: 0.24211
Train 8: 0.85096 	 r2: 0.30634
Valid 8: 0.81817 	 r2: 0.24234
Train 9: 0.85536 	 r2: 0.31594
Valid 9: 0.81872 	 r2: 0.24222
Train 10: 0.85797 	 r2: 0.32209
Valid 10: 0.81729 	 r2: 0.23888
Train 11: 0.86028 	 r2: 0.32707
Valid 11: 0.81605 	 r2: 0.23617
Train 12: 0.86423 	 r2: 0.33655
Valid 12: 0.81696 	 r2: 0.23803
Train 13: 0.86743 	 r2: 0.34437
Valid 13: 0.81672 	 r2: 0.23572
Train 14: 0.86975 	 r2: 0.35025
Valid 14: 0.81620 	 r2: 0.23333
Finish: (0.8187190772183178, 0.2422163363041585)
Test 15: 0.83146 	 r2: 0.26048
Train 1: 0.65534 	 r2: 0.03727
Valid 1: 0.75894 	 r2: 0.15020
Train 2: 0.78923 	 r2: 0.20282
Valid 2: 0.76515 	 r2: 0.17299
