N: 20; d: 20
Train 5: 0.80747 	 r2: 0.23232
Valid 5: 0.79902 	 r2: 0.21010
Train 6: 0.80922 	 r2: 0.23578
Valid 6: 0.79843 	 r2: 0.20954
Train 7: 0.81059 	 r2: 0.23876
Valid 7: 0.79725 	 r2: 0.20723
Train 8: 0.81183 	 r2: 0.24119
Valid 8: 0.79685 	 r2: 0.20619
Train 9: 0.81254 	 r2: 0.24311
Valid 9: 0.79528 	 r2: 0.20406
Finish: (0.7999412554291758, 0.2135822542395125)
Test 10: 0.80681 	 r2: 0.22560
Train 1: 0.75191 	 r2: 0.12963
Valid 1: 0.78693 	 r2: 0.17514
Train 2: 0.79565 	 r2: 0.20764
Valid 2: 0.79816 	 r2: 0.20921
Train 3: 0.80249 	 r2: 0.22120
Valid 3: 0.79985 	 r2: 0.21298
Train 4: 0.80561 	 r2: 0.22757
Valid 4: 0.79974 	 r2: 0.21238
Train 5: 0.80808 	 r2: 0.23259
Valid 5: 0.79898 	 r2: 0.21121
Train 6: 0.80974 	 r2: 0.23637
Valid 6: 0.79811 	 r2: 0.21022
Train 7: 0.81136 	 r2: 0.23999
Valid 7: 0.79613 	 r2: 0.20565
Train 8: 0.81273 	 r2: 0.24296
Valid 8: 0.79540 	 r2: 0.20481
Finish: (0.7998462357028095, 0.21298449261108365)
Test 9: 0.80604 	 r2: 0.22389
Train 1: 0.74717 	 r2: 0.11673
Valid 1: 0.78513 	 r2: 0.18017
Train 2: 0.79433 	 r2: 0.20617
Valid 2: 0.79765 	 r2: 0.20697
Train 3: 0.80254 	 r2: 0.22228
Valid 3: 0.79950 	 r2: 0.21283
Train 4: 0.80572 	 r2: 0.22855
Valid 4: 0.80030 	 r2: 0.21285
Train 5: 0.80805 	 r2: 0.23321
Valid 5: 0.79920 	 r2: 0.20977
Train 6: 0.80925 	 r2: 0.23620
Valid 6: 0.79937 	 r2: 0.20926
Train 7: 0.81091 	 r2: 0.23942
Valid 7: 0.79785 	 r2: 0.20705
Train 8: 0.81229 	 r2: 0.24247
Valid 8: 0.79774 	 r2: 0.20658
Train 9: 0.81357 	 r2: 0.24509
Valid 9: 0.79603 	 r2: 0.20375
Finish: (0.8002966703185793, 0.2128540610064794)
Test 10: 0.80625 	 r2: 0.22267
N: 20; d: 60
Train 1: 0.74924 	 r2: 0.12287
Valid 1: 0.79007 	 r2: 0.18734
Train 2: 0.79608 	 r2: 0.20881
Valid 2: 0.79811 	 r2: 0.21049
Train 3: 0.80301 	 r2: 0.22279
Valid 3: 0.79992 	 r2: 0.21382
Train 4: 0.80635 	 r2: 0.22976
Valid 4: 0.79985 	 r2: 0.21228
Train 5: 0.80809 	 r2: 0.23403
Valid 5: 0.79847 	 r2: 0.21231
Train 6: 0.81015 	 r2: 0.23819
Valid 6: 0.79849 	 r2: 0.21079
Train 7: 0.81188 	 r2: 0.24215
Valid 7: 0.79667 	 r2: 0.20830
Train 8: 0.81352 	 r2: 0.24547
Valid 8: 0.79548 	 r2: 0.20563
Finish: (0.7999160938793973, 0.21381788925800882)
Test 9: 0.80628 	 r2: 0.22386
Train 1: 0.75983 	 r2: 0.14454
Valid 1: 0.78904 	 r2: 0.18411
Train 2: 0.79693 	 r2: 0.20954
Valid 2: 0.79803 	 r2: 0.20743
Train 3: 0.80364 	 r2: 0.22350
Valid 3: 0.79892 	 r2: 0.21142
Train 4: 0.80669 	 r2: 0.23004
Valid 4: 0.79876 	 r2: 0.21261
Train 5: 0.80885 	 r2: 0.23450
Valid 5: 0.79777 	 r2: 0.21036
Train 6: 0.81075 	 r2: 0.23851
Valid 6: 0.79683 	 r2: 0.20698
Train 7: 0.81221 	 r2: 0.24164
Valid 7: 0.79565 	 r2: 0.20600
Train 8: 0.81364 	 r2: 0.24497
Valid 8: 0.79435 	 r2: 0.20163
Finish: (0.7989176729519589, 0.21141999730267258)
Test 9: 0.80578 	 r2: 0.22305
Train 1: 0.75128 	 r2: 0.12237
Valid 1: 0.79038 	 r2: 0.18958
Train 2: 0.79681 	 r2: 0.20997
Valid 2: 0.79896 	 r2: 0.20967
Train 3: 0.80322 	 r2: 0.22300
Valid 3: 0.80015 	 r2: 0.21314
Train 4: 0.80655 	 r2: 0.22977
Valid 4: 0.79935 	 r2: 0.21267
Train 5: 0.80873 	 r2: 0.23453
Valid 5: 0.79878 	 r2: 0.21197
Train 6: 0.81038 	 r2: 0.23818
Valid 6: 0.79755 	 r2: 0.20935
Train 7: 0.81206 	 r2: 0.24143
Valid 7: 0.79642 	 r2: 0.20664
Train 8: 0.81364 	 r2: 0.24475
Valid 8: 0.79396 	 r2: 0.20284
Finish: (0.8001478428634339, 0.2131448609713742)
Test 9: 0.80609 	 r2: 0.22314
Train 1: 0.74566 	 r2: 0.10487
Valid 1: 0.78558 	 r2: 0.18008
Train 2: 0.79503 	 r2: 0.20749
Valid 2: 0.79642 	 r2: 0.20212
Train 3: 0.80258 	 r2: 0.22250
Valid 3: 0.79817 	 r2: 0.20880
Train 4: 0.80543 	 r2: 0.22849
Valid 4: 0.79877 	 r2: 0.21108
Train 5: 0.80754 	 r2: 0.23323
Valid 5: 0.79765 	 r2: 0.20749
Train 6: 0.80944 	 r2: 0.23693
Valid 6: 0.79586 	 r2: 0.20804
Train 7: 0.81053 	 r2: 0.23972
Valid 7: 0.79461 	 r2: 0.20221
Train 8: 0.81229 	 r2: 0.24320
Valid 8: 0.79390 	 r2: 0.20365
Train 9: 0.81363 	 r2: 0.24651
Valid 9: 0.79239 	 r2: 0.20010
Finish: (0.7987676521479311, 0.21108302848759364)
Test 10: 0.80489 	 r2: 0.21970
Train 1: 0.76051 	 r2: 0.14643
Valid 1: 0.79208 	 r2: 0.19482
Train 2: 0.79722 	 r2: 0.21156
Valid 2: 0.79938 	 r2: 0.21168
Train 3: 0.80410 	 r2: 0.22515
Valid 3: 0.80013 	 r2: 0.21343
Train 4: 0.80743 	 r2: 0.23174
Valid 4: 0.80012 	 r2: 0.21339
Train 5: 0.80970 	 r2: 0.23660
Valid 5: 0.79907 	 r2: 0.21119
Train 6: 0.81136 	 r2: 0.23986
Valid 6: 0.79817 	 r2: 0.21069
Train 7: 0.81313 	 r2: 0.24379
