N: 1; d: 20
Valid 2: 0.78762 	 r2: 0.18384
Train 3: 0.79598 	 r2: 0.20903
Valid 3: 0.79070 	 r2: 0.18985
Train 4: 0.80222 	 r2: 0.22265
Valid 4: 0.79068 	 r2: 0.19109
Train 5: 0.80708 	 r2: 0.23292
Valid 5: 0.78896 	 r2: 0.18886
Train 6: 0.81091 	 r2: 0.24167
Valid 6: 0.78674 	 r2: 0.18474
Train 7: 0.81401 	 r2: 0.24860
Valid 7: 0.78304 	 r2: 0.17866
Train 8: 0.81690 	 r2: 0.25390
Valid 8: 0.78082 	 r2: 0.17471
Finish: (0.790697953752618, 0.18985323432657264)
Test 9: 0.79869 	 r2: 0.20589
Train 1: 0.73110 	 r2: 0.08507
Valid 1: 0.77569 	 r2: 0.15731
Train 2: 0.78371 	 r2: 0.18386
Valid 2: 0.78725 	 r2: 0.18306
Train 3: 0.79644 	 r2: 0.20968
Valid 3: 0.79212 	 r2: 0.19354
Train 4: 0.80295 	 r2: 0.22399
Valid 4: 0.79056 	 r2: 0.18945
Train 5: 0.80707 	 r2: 0.23342
Valid 5: 0.78975 	 r2: 0.18905
Train 6: 0.81072 	 r2: 0.24110
Valid 6: 0.78709 	 r2: 0.18680
Train 7: 0.81344 	 r2: 0.24721
Valid 7: 0.78594 	 r2: 0.18408
Train 8: 0.81685 	 r2: 0.25457
Valid 8: 0.78352 	 r2: 0.17903
Finish: (0.7921163063896536, 0.19353892980807075)
Test 9: 0.79933 	 r2: 0.20848
Train 1: 0.73224 	 r2: 0.08735
Valid 1: 0.77597 	 r2: 0.15727
Train 2: 0.78477 	 r2: 0.18537
Valid 2: 0.78697 	 r2: 0.18164
Train 3: 0.79590 	 r2: 0.20957
Valid 3: 0.79047 	 r2: 0.19227
Train 4: 0.80249 	 r2: 0.22292
Valid 4: 0.79034 	 r2: 0.19248
Train 5: 0.80650 	 r2: 0.23191
Valid 5: 0.78939 	 r2: 0.19121
Train 6: 0.80983 	 r2: 0.23901
Valid 6: 0.78804 	 r2: 0.18650
Train 7: 0.81311 	 r2: 0.24625
Valid 7: 0.78526 	 r2: 0.18339
Train 8: 0.81623 	 r2: 0.25326
Valid 8: 0.78271 	 r2: 0.17663
Finish: (0.7904711159892807, 0.19227240355256003)
Test 9: 0.79825 	 r2: 0.20675
Train 1: 0.73201 	 r2: 0.08679
Valid 1: 0.77486 	 r2: 0.15635
Train 2: 0.78458 	 r2: 0.18549
Valid 2: 0.78506 	 r2: 0.17806
Train 3: 0.79575 	 r2: 0.20934
Valid 3: 0.78967 	 r2: 0.19044
Train 4: 0.80180 	 r2: 0.22277
Valid 4: 0.79009 	 r2: 0.19251
Train 5: 0.80631 	 r2: 0.23232
Valid 5: 0.78927 	 r2: 0.19030
Train 6: 0.80959 	 r2: 0.23953
Valid 6: 0.78610 	 r2: 0.18463
Train 7: 0.81220 	 r2: 0.24548
Valid 7: 0.78404 	 r2: 0.18101
Train 8: 0.81547 	 r2: 0.25210
Valid 8: 0.78074 	 r2: 0.17579
Train 9: 0.81885 	 r2: 0.25932
Valid 9: 0.77779 	 r2: 0.17176
Finish: (0.7900887230850415, 0.19250761378044778)
Test 10: 0.79868 	 r2: 0.20900
Train 1: 0.73274 	 r2: 0.08665
Valid 1: 0.77734 	 r2: 0.15695
Train 2: 0.78654 	 r2: 0.18758
Valid 2: 0.78869 	 r2: 0.18436
Train 3: 0.79702 	 r2: 0.21085
Valid 3: 0.79089 	 r2: 0.19356
Train 4: 0.80228 	 r2: 0.22337
Valid 4: 0.79011 	 r2: 0.19087
Train 5: 0.80684 	 r2: 0.23276
Valid 5: 0.78962 	 r2: 0.19084
Train 6: 0.81057 	 r2: 0.24091
Valid 6: 0.78627 	 r2: 0.18577
Train 7: 0.81410 	 r2: 0.24882
Valid 7: 0.78330 	 r2: 0.18019
Train 8: 0.81727 	 r2: 0.25506
Valid 8: 0.78013 	 r2: 0.17412
Finish: (0.7908876983705551, 0.19356205919170244)
Test 9: 0.79912 	 r2: 0.20898
N: 1; d: 160
Train 1: 0.73216 	 r2: 0.08409
Valid 1: 0.77604 	 r2: 0.15705
Train 2: 0.78453 	 r2: 0.18418
Valid 2: 0.78607 	 r2: 0.18041
Train 3: 0.79574 	 r2: 0.20888
Valid 3: 0.78997 	 r2: 0.19019
Train 4: 0.80178 	 r2: 0.22200
Valid 4: 0.78930 	 r2: 0.18880
Train 5: 0.80633 	 r2: 0.23208
Valid 5: 0.78693 	 r2: 0.18487
Train 6: 0.80982 	 r2: 0.23973
Valid 6: 0.78514 	 r2: 0.18233
Train 7: 0.81393 	 r2: 0.24844
Valid 7: 0.78478 	 r2: 0.18223
Train 8: 0.81823 	 r2: 0.25795
Valid 8: 0.78117 	 r2: 0.17457
Finish: (0.7899662668101018, 0.19019152626665758)
Test 9: 0.79678 	 r2: 0.20440
Train 1: 0.73358 	 r2: 0.08698
Valid 1: 0.77716 	 r2: 0.15921
Train 2: 0.78469 	 r2: 0.18466
Valid 2: 0.78701 	 r2: 0.18010
Train 3: 0.79636 	 r2: 0.20956
Valid 3: 0.78986 	 r2: 0.18809
Train 4: 0.80218 	 r2: 0.22309
Valid 4: 0.78980 	 r2: 0.19033
Train 5: 0.80688 	 r2: 0.23327
Valid 5: 0.78975 	 r2: 0.19037
Train 6: 0.81136 	 r2: 0.24289
Valid 6: 0.78586 	 r2: 0.18440
Train 7: 0.81423 	 r2: 0.24970
Valid 7: 0.78248 	 r2: 0.17783
Train 8: 0.81679 	 r2: 0.25417
Valid 8: 0.78213 	 r2: 0.17827
Finish: (0.7898630025638309, 0.18809482610100625)
Test 9: 0.79719 	 r2: 0.20395
Train 1: 0.73652 	 r2: 0.09203
Valid 1: 0.77675 	 r2: 0.15712
Train 2: 0.78375 	 r2: 0.18396
Valid 2: 0.78448 	 r2: 0.17835
Train 3: 0.79619 	 r2: 0.20916
Valid 3: 0.78984 	 r2: 0.19055
Train 4: 0.80203 	 r2: 0.22255
Valid 4: 0.78985 	 r2: 0.18944
Train 5: 0.80592 	 r2: 0.23144
Valid 5: 0.78745 	 r2: 0.18531
Train 6: 0.81001 	 r2: 0.24002
Valid 6: 0.78554 	 r2: 0.18340
Train 7: 0.81373 	 r2: 0.24820
Valid 7: 0.78275 	 r2: 0.17586
Train 8: 0.81760 	 r2: 0.25682
Valid 8: 0.78157 	 r2: 0.17310
Train 9: 0.82161 	 r2: 0.26524
Valid 9: 0.77673 	 r2: 0.16669
Finish: (0.7898452568159494, 0.18943583230012306)
Test 10: 0.79656 	 r2: 0.20370
Train 1: 0.73460 	 r2: 0.09003
Valid 1: 0.77684 	 r2: 0.15824
Train 2: 0.78502 	 r2: 0.18479
Valid 2: 0.78561 	 r2: 0.17851
Train 3: 0.79546 	 r2: 0.20803
Valid 3: 0.78828 	 r2: 0.18706
Train 4: 0.80198 	 r2: 0.22298
Valid 4: 0.78831 	 r2: 0.18812
Train 5: 0.80702 	 r2: 0.23320
Valid 5: 0.78538 	 r2: 0.18340
Train 6: 0.81086 	 r2: 0.24077
Valid 6: 0.78294 	 r2: 0.17873
Train 7: 0.81399 	 r2: 0.24761
Valid 7: 0.77842 	 r2: 0.17289
Train 8: 0.81686 	 r2: 0.25283
Valid 8: 0.77863 	 r2: 0.16980
Train 9: 0.82154 	 r2: 0.26343
Valid 9: 0.77518 	 r2: 0.16385
Finish: (0.7883096696099459, 0.1881180840808362)
Test 10: 0.79598 	 r2: 0.20273
Train 1: 0.73379 	 r2: 0.08679
Valid 1: 0.77575 	 r2: 0.15741
Train 2: 0.78478 	 r2: 0.18520
Valid 2: 0.78713 	 r2: 0.18417
