N: 20; d: 20
Train 15: 0.85547 	 r2: 0.31710
Valid 15: 0.82000 	 r2: 0.24302
Train 16: 0.85403 	 r2: 0.31388
Valid 16: 0.81999 	 r2: 0.24893
Train 17: 0.85198 	 r2: 0.30920
Valid 17: 0.81624 	 r2: 0.24471
Finish: (0.8211533432337177, 0.25374977643769125)
Test 18: 0.83400 	 r2: 0.26923
N: 20; d: 40
Train 1: 0.70957 	 r2: 0.09972
Valid 1: 0.75979 	 r2: 0.14900
Train 2: 0.78492 	 r2: 0.19483
Valid 2: 0.77176 	 r2: 0.16984
Train 3: 0.81150 	 r2: 0.23577
Valid 3: 0.79738 	 r2: 0.20390
Train 4: 0.82741 	 r2: 0.26089
Valid 4: 0.81221 	 r2: 0.23403
Train 5: 0.83604 	 r2: 0.27530
Valid 5: 0.81677 	 r2: 0.24383
Train 6: 0.84177 	 r2: 0.28573
Valid 6: 0.81923 	 r2: 0.24846
Train 7: 0.84513 	 r2: 0.29278
Valid 7: 0.81946 	 r2: 0.24987
Train 8: 0.84830 	 r2: 0.29987
Valid 8: 0.82076 	 r2: 0.25134
Train 9: 0.85142 	 r2: 0.30712
Valid 9: 0.82158 	 r2: 0.25249
Train 10: 0.85417 	 r2: 0.31352
Valid 10: 0.82134 	 r2: 0.25210
Train 11: 0.85510 	 r2: 0.31557
Valid 11: 0.82022 	 r2: 0.24913
Train 12: 0.85507 	 r2: 0.31538
Valid 12: 0.81871 	 r2: 0.23998
Train 13: 0.85814 	 r2: 0.32243
Valid 13: 0.81883 	 r2: 0.24074
Train 14: 0.86047 	 r2: 0.32787
Valid 14: 0.81832 	 r2: 0.24120
Finish: (0.8215783299934197, 0.2524915547200882)
Test 15: 0.83399 	 r2: 0.26788
Train 1: 0.71385 	 r2: 0.10365
Valid 1: 0.75932 	 r2: 0.15461
Train 2: 0.78709 	 r2: 0.19706
Valid 2: 0.77023 	 r2: 0.16818
Train 3: 0.81103 	 r2: 0.23423
Valid 3: 0.79652 	 r2: 0.20838
Train 4: 0.82740 	 r2: 0.26164
Valid 4: 0.81195 	 r2: 0.23582
Train 5: 0.83626 	 r2: 0.27577
Valid 5: 0.81423 	 r2: 0.24054
Train 6: 0.84177 	 r2: 0.28604
Valid 6: 0.81819 	 r2: 0.24710
Train 7: 0.84691 	 r2: 0.29681
Valid 7: 0.82014 	 r2: 0.25092
Train 8: 0.85148 	 r2: 0.30696
Valid 8: 0.82055 	 r2: 0.24948
Train 9: 0.85504 	 r2: 0.31503
Valid 9: 0.82074 	 r2: 0.24909
Train 10: 0.85733 	 r2: 0.32072
Valid 10: 0.81801 	 r2: 0.23901
Train 11: 0.85792 	 r2: 0.32299
Valid 11: 0.81868 	 r2: 0.24796
Train 12: 0.86008 	 r2: 0.32718
Valid 12: 0.81886 	 r2: 0.24249
Train 13: 0.86078 	 r2: 0.32879
Valid 13: 0.81564 	 r2: 0.23276
Train 14: 0.86405 	 r2: 0.33599
Valid 14: 0.81822 	 r2: 0.23998
Finish: (0.8207400433581624, 0.24909444039810968)
Test 15: 0.83271 	 r2: 0.26436
Train 1: 0.71528 	 r2: 0.10125
Valid 1: 0.76063 	 r2: 0.14751
Train 2: 0.79146 	 r2: 0.20467
Valid 2: 0.77721 	 r2: 0.18115
Train 3: 0.81674 	 r2: 0.24418
