N: 20; d: 20
Train 4: 0.82613 	 r2: 0.26121
Valid 4: 0.79528 	 r2: 0.20980
Train 5: 0.82874 	 r2: 0.26613
Valid 5: 0.79629 	 r2: 0.21151
Train 6: 0.83067 	 r2: 0.26992
Valid 6: 0.79787 	 r2: 0.21289
Train 7: 0.83341 	 r2: 0.27521
Valid 7: 0.80049 	 r2: 0.21675
Train 8: 0.83698 	 r2: 0.28226
Valid 8: 0.80441 	 r2: 0.22197
Train 9: 0.84183 	 r2: 0.29177
Valid 9: 0.80728 	 r2: 0.22330
Train 10: 0.84714 	 r2: 0.30275
Valid 10: 0.80912 	 r2: 0.22339
Train 11: 0.85213 	 r2: 0.31365
Valid 11: 0.80858 	 r2: 0.22039
Train 12: 0.85602 	 r2: 0.32212
Valid 12: 0.80817 	 r2: 0.21907
Train 13: 0.85951 	 r2: 0.33016
Valid 13: 0.80774 	 r2: 0.21289
Train 14: 0.86170 	 r2: 0.33488
Valid 14: 0.80647 	 r2: 0.21299
Train 15: 0.86309 	 r2: 0.33763
Valid 15: 0.80418 	 r2: 0.20536
Finish: (0.809115354996066, 0.2233877183331)
Test 16: 0.82476 	 r2: 0.24774
Train 1: 0.73573 	 r2: 0.13061
Valid 1: 0.78479 	 r2: 0.18058
Train 2: 0.81716 	 r2: 0.24341
Valid 2: 0.79341 	 r2: 0.20873
Train 3: 0.82674 	 r2: 0.26109
Valid 3: 0.79709 	 r2: 0.21165
Train 4: 0.83206 	 r2: 0.27059
Valid 4: 0.80073 	 r2: 0.21529
Train 5: 0.83732 	 r2: 0.28017
Valid 5: 0.80425 	 r2: 0.21905
Train 6: 0.84225 	 r2: 0.28971
Valid 6: 0.80654 	 r2: 0.22097
Train 7: 0.84638 	 r2: 0.29809
Valid 7: 0.80805 	 r2: 0.22081
Train 8: 0.85062 	 r2: 0.30650
Valid 8: 0.80932 	 r2: 0.22223
Train 9: 0.85493 	 r2: 0.31535
Valid 9: 0.80945 	 r2: 0.22132
Train 10: 0.85877 	 r2: 0.32372
Valid 10: 0.80898 	 r2: 0.22134
Train 11: 0.86265 	 r2: 0.33222
Valid 11: 0.80828 	 r2: 0.21906
Train 12: 0.86608 	 r2: 0.34033
Valid 12: 0.80705 	 r2: 0.21542
Train 13: 0.86950 	 r2: 0.34849
Valid 13: 0.80561 	 r2: 0.21156
Train 14: 0.87271 	 r2: 0.35632
Valid 14: 0.80434 	 r2: 0.20799
Finish: (0.8094476463426835, 0.22131932881807714)
Test 15: 0.82558 	 r2: 0.24715
Train 1: 0.63222 	 r2: -0.04491
Valid 1: 0.76463 	 r2: 0.16863
Train 2: 0.80789 	 r2: 0.23073
Valid 2: 0.79098 	 r2: 0.20837
Train 3: 0.82317 	 r2: 0.25619
Valid 3: 0.79507 	 r2: 0.21276
Train 4: 0.82811 	 r2: 0.26523
Valid 4: 0.79743 	 r2: 0.21462
Train 5: 0.83202 	 r2: 0.27269
Valid 5: 0.80030 	 r2: 0.21742
Train 6: 0.83637 	 r2: 0.28081
Valid 6: 0.80485 	 r2: 0.22346
Train 7: 0.84163 	 r2: 0.29114
Valid 7: 0.80871 	 r2: 0.22803
Train 8: 0.84740 	 r2: 0.30270
Valid 8: 0.81079 	 r2: 0.22795
Train 9: 0.85296 	 r2: 0.31453
Valid 9: 0.81113 	 r2: 0.22406
Train 10: 0.85746 	 r2: 0.32460
Valid 10: 0.81120 	 r2: 0.22195
Train 11: 0.86164 	 r2: 0.33402
Valid 11: 0.81048 	 r2: 0.22117
Train 12: 0.86569 	 r2: 0.34343
Valid 12: 0.80876 	 r2: 0.21753
Train 13: 0.86938 	 r2: 0.35212
Valid 13: 0.80750 	 r2: 0.21414
Train 14: 0.87265 	 r2: 0.36046
Valid 14: 0.80656 	 r2: 0.20904
Train 15: 0.87566 	 r2: 0.36796
Valid 15: 0.80562 	 r2: 0.20101
Finish: (0.8112017807186315, 0.22194792495848548)
Test 16: 0.82570 	 r2: 0.24626
N: 30; d: 20
Train 1: 0.68807 	 r2: 0.08348
Valid 1: 0.76758 	 r2: 0.16981
Train 2: 0.81129 	 r2: 0.23301
Valid 2: 0.78970 	 r2: 0.20639
Train 3: 0.82335 	 r2: 0.25590
Valid 3: 0.79323 	 r2: 0.20913
Train 4: 0.82751 	 r2: 0.26327
Valid 4: 0.79585 	 r2: 0.21004
Train 5: 0.83081 	 r2: 0.26920
Valid 5: 0.79811 	 r2: 0.21169
Train 6: 0.83402 	 r2: 0.27466
Valid 6: 0.80071 	 r2: 0.21570
