N: 20; d: 20
Valid 9: 0.80056 	 r2: 0.21520
Train 10: 0.81136 	 r2: 0.24080
Valid 10: 0.80005 	 r2: 0.21265
Train 11: 0.81217 	 r2: 0.24267
Valid 11: 0.79983 	 r2: 0.21327
Train 12: 0.81314 	 r2: 0.24469
Valid 12: 0.79977 	 r2: 0.21184
Train 13: 0.81390 	 r2: 0.24642
Valid 13: 0.79928 	 r2: 0.21108
Train 14: 0.81474 	 r2: 0.24798
Valid 14: 0.79907 	 r2: 0.20943
Finish: (0.8005569927826259, 0.21519521389876106)
Test 15: 0.80755 	 r2: 0.22807
Train 1: 0.72662 	 r2: 0.09355
Valid 1: 0.77946 	 r2: 0.17485
Train 2: 0.78542 	 r2: 0.19248
Valid 2: 0.78983 	 r2: 0.19431
Train 3: 0.79574 	 r2: 0.21111
Valid 3: 0.79573 	 r2: 0.20634
Train 4: 0.80094 	 r2: 0.22046
Valid 4: 0.79772 	 r2: 0.20967
Train 5: 0.80383 	 r2: 0.22583
Valid 5: 0.79870 	 r2: 0.21144
Train 6: 0.80588 	 r2: 0.22969
Valid 6: 0.79959 	 r2: 0.21162
Train 7: 0.80739 	 r2: 0.23264
Valid 7: 0.79957 	 r2: 0.21181
Train 8: 0.80845 	 r2: 0.23487
Valid 8: 0.79968 	 r2: 0.21071
Train 9: 0.80964 	 r2: 0.23712
Valid 9: 0.79948 	 r2: 0.21108
Train 10: 0.81054 	 r2: 0.23902
Valid 10: 0.79907 	 r2: 0.20996
Train 11: 0.81134 	 r2: 0.24077
Valid 11: 0.79815 	 r2: 0.20845
Train 12: 0.81206 	 r2: 0.24222
Valid 12: 0.79793 	 r2: 0.20734
Train 13: 0.81284 	 r2: 0.24377
Valid 13: 0.79731 	 r2: 0.20685
Finish: (0.7996754698126831, 0.21070690502857925)
Test 14: 0.80721 	 r2: 0.22742
Train 1: 0.73941 	 r2: 0.12088
Valid 1: 0.77821 	 r2: 0.17469
Train 2: 0.78612 	 r2: 0.19351
Valid 2: 0.79203 	 r2: 0.19667
Train 3: 0.79725 	 r2: 0.21337
Valid 3: 0.79682 	 r2: 0.20708
Train 4: 0.80186 	 r2: 0.22171
Valid 4: 0.79847 	 r2: 0.21143
Train 5: 0.80439 	 r2: 0.22644
Valid 5: 0.79969 	 r2: 0.21329
Train 6: 0.80639 	 r2: 0.23026
Valid 6: 0.80040 	 r2: 0.21427
Train 7: 0.80781 	 r2: 0.23312
Valid 7: 0.80057 	 r2: 0.21408
Train 8: 0.80914 	 r2: 0.23569
Valid 8: 0.80047 	 r2: 0.21418
Train 9: 0.81032 	 r2: 0.23804
Valid 9: 0.80024 	 r2: 0.21277
Train 10: 0.81136 	 r2: 0.24012
Valid 10: 0.79958 	 r2: 0.21193
Train 11: 0.81216 	 r2: 0.24168
Valid 11: 0.79928 	 r2: 0.21096
Train 12: 0.81305 	 r2: 0.24340
Valid 12: 0.79890 	 r2: 0.20895
Finish: (0.8005744062102952, 0.21408452533082156)
Test 13: 0.80759 	 r2: 0.22779
Train 1: 0.72412 	 r2: 0.08696
Valid 1: 0.77817 	 r2: 0.17205
Train 2: 0.78432 	 r2: 0.19066
Valid 2: 0.78885 	 r2: 0.19458
Train 3: 0.79491 	 r2: 0.21042
Valid 3: 0.79529 	 r2: 0.20527
Train 4: 0.80025 	 r2: 0.21988
Valid 4: 0.79746 	 r2: 0.20878
Train 5: 0.80336 	 r2: 0.22562
Valid 5: 0.79892 	 r2: 0.21192
Train 6: 0.80571 	 r2: 0.22993
Valid 6: 0.79960 	 r2: 0.21220
Train 7: 0.80730 	 r2: 0.23307
Valid 7: 0.80023 	 r2: 0.21311
Train 8: 0.80862 	 r2: 0.23535
Valid 8: 0.80023 	 r2: 0.21268
Train 9: 0.80978 	 r2: 0.23781
Valid 9: 0.80010 	 r2: 0.21340
Train 10: 0.81085 	 r2: 0.24002
Valid 10: 0.80060 	 r2: 0.21359
Train 11: 0.81170 	 r2: 0.24174
Valid 11: 0.80017 	 r2: 0.21296
Train 12: 0.81268 	 r2: 0.24358
Valid 12: 0.79941 	 r2: 0.21125
Train 13: 0.81343 	 r2: 0.24519
Valid 13: 0.79882 	 r2: 0.20969
Train 14: 0.81438 	 r2: 0.24711
Valid 14: 0.79815 	 r2: 0.20773
Train 15: 0.81507 	 r2: 0.24851
Valid 15: 0.79792 	 r2: 0.20736
Finish: (0.8005971314603932, 0.21359032209354345)
Test 16: 0.80691 	 r2: 0.22628
Train 1: 0.71787 	 r2: 0.05700
Valid 1: 0.77904 	 r2: 0.17383
Train 2: 0.78498 	 r2: 0.19211
Valid 2: 0.78998 	 r2: 0.19324
Train 3: 0.79530 	 r2: 0.21076
Valid 3: 0.79587 	 r2: 0.20423
Train 4: 0.80065 	 r2: 0.22025
Valid 4: 0.79815 	 r2: 0.20845
Train 5: 0.80365 	 r2: 0.22567
Valid 5: 0.79924 	 r2: 0.21205
Train 6: 0.80577 	 r2: 0.22966
Valid 6: 0.79982 	 r2: 0.21232
Train 7: 0.80727 	 r2: 0.23247
Valid 7: 0.79998 	 r2: 0.21287
Train 8: 0.80855 	 r2: 0.23493
Valid 8: 0.80007 	 r2: 0.21109
Train 9: 0.80964 	 r2: 0.23710
Valid 9: 0.80029 	 r2: 0.21212
Train 10: 0.81051 	 r2: 0.23906
Valid 10: 0.79957 	 r2: 0.21054
Train 11: 0.81135 	 r2: 0.24086
Valid 11: 0.79939 	 r2: 0.20951
Train 12: 0.81203 	 r2: 0.24238
Valid 12: 0.79942 	 r2: 0.20871
Train 13: 0.81286 	 r2: 0.24420
Valid 13: 0.79830 	 r2: 0.20615
Train 14: 0.81334 	 r2: 0.24517
Valid 14: 0.79839 	 r2: 0.20617
Finish: (0.8002850262373686, 0.2121183882354175)
Test 15: 0.80672 	 r2: 0.22441
N: 20; d: 60
Train 1: 0.74187 	 r2: 0.12353
Valid 1: 0.78163 	 r2: 0.17958
Train 2: 0.78835 	 r2: 0.19692
Valid 2: 0.79375 	 r2: 0.20088
Train 3: 0.79895 	 r2: 0.21623
Valid 3: 0.79758 	 r2: 0.20811
Train 4: 0.80333 	 r2: 0.22440
Valid 4: 0.79887 	 r2: 0.21109
Train 5: 0.80606 	 r2: 0.22955
Valid 5: 0.79945 	 r2: 0.21237
Train 6: 0.80808 	 r2: 0.23317
Valid 6: 0.79983 	 r2: 0.21253
Train 7: 0.80982 	 r2: 0.23652
Valid 7: 0.79945 	 r2: 0.21138
Train 8: 0.81109 	 r2: 0.23918
Valid 8: 0.79945 	 r2: 0.21159
Train 9: 0.81256 	 r2: 0.24195
Valid 9: 0.79868 	 r2: 0.21083
Train 10: 0.81355 	 r2: 0.24380
Valid 10: 0.79788 	 r2: 0.20850
Train 11: 0.81450 	 r2: 0.24597
Valid 11: 0.79696 	 r2: 0.20781
Finish: (0.7998285731296413, 0.21252629041848625)
Test 12: 0.80778 	 r2: 0.22943
Train 1: 0.73857 	 r2: 0.11986
Valid 1: 0.78155 	 r2: 0.17420
Train 2: 0.78763 	 r2: 0.19609
Valid 2: 0.79281 	 r2: 0.19847
Train 3: 0.79809 	 r2: 0.21463
Valid 3: 0.79817 	 r2: 0.20922
Train 4: 0.80290 	 r2: 0.22368
Valid 4: 0.79909 	 r2: 0.21186
Train 5: 0.80576 	 r2: 0.22897
Valid 5: 0.80048 	 r2: 0.21227
Train 6: 0.80760 	 r2: 0.23270
Valid 6: 0.80069 	 r2: 0.21479
Train 7: 0.80926 	 r2: 0.23583
Valid 7: 0.79993 	 r2: 0.21213
Train 8: 0.81062 	 r2: 0.23852
Valid 8: 0.79985 	 r2: 0.21295
Train 9: 0.81186 	 r2: 0.24106
Valid 9: 0.79936 	 r2: 0.21195
Train 10: 0.81297 	 r2: 0.24316
Valid 10: 0.79806 	 r2: 0.20874
Train 11: 0.81396 	 r2: 0.24502
Valid 11: 0.79740 	 r2: 0.20773
Finish: (0.8006877208395917, 0.21478561231934912)
Test 12: 0.80749 	 r2: 0.22911
