N: 20; d: 20
Valid 4: 0.80110 	 r2: 0.21676
Train 5: 0.80898 	 r2: 0.23550
Valid 5: 0.80057 	 r2: 0.21448
Train 6: 0.81089 	 r2: 0.23948
Valid 6: 0.79942 	 r2: 0.21062
Train 7: 0.81214 	 r2: 0.24208
Valid 7: 0.79788 	 r2: 0.21109
Train 8: 0.81357 	 r2: 0.24540
Valid 8: 0.79736 	 r2: 0.20878
Train 9: 0.81518 	 r2: 0.24854
Valid 9: 0.79684 	 r2: 0.20743
Finish: (0.8010951139927242, 0.2167621558089854)
Test 10: 0.80749 	 r2: 0.22860
Train 1: 0.75325 	 r2: 0.13588
Valid 1: 0.79048 	 r2: 0.19011
Train 2: 0.79572 	 r2: 0.20863
Valid 2: 0.79928 	 r2: 0.20949
Train 3: 0.80306 	 r2: 0.22332
Valid 3: 0.80026 	 r2: 0.21479
Train 4: 0.80635 	 r2: 0.23004
Valid 4: 0.80002 	 r2: 0.21470
Train 5: 0.80891 	 r2: 0.23563
Valid 5: 0.79968 	 r2: 0.21352
Train 6: 0.81068 	 r2: 0.23952
Valid 6: 0.79943 	 r2: 0.21438
Train 7: 0.81231 	 r2: 0.24313
Valid 7: 0.79768 	 r2: 0.21008
Train 8: 0.81414 	 r2: 0.24644
Valid 8: 0.79768 	 r2: 0.20692
Finish: (0.8002628472394083, 0.2147937781586512)
Test 9: 0.80679 	 r2: 0.22557
Train 1: 0.74906 	 r2: 0.12929
Valid 1: 0.79017 	 r2: 0.18695
Train 2: 0.79608 	 r2: 0.20869
Valid 2: 0.79932 	 r2: 0.21159
Train 3: 0.80316 	 r2: 0.22382
Valid 3: 0.79923 	 r2: 0.21463
Train 4: 0.80672 	 r2: 0.23036
Valid 4: 0.80008 	 r2: 0.21505
Train 5: 0.80925 	 r2: 0.23573
Valid 5: 0.79946 	 r2: 0.21366
Train 6: 0.81108 	 r2: 0.23949
Valid 6: 0.79877 	 r2: 0.21101
Train 7: 0.81292 	 r2: 0.24358
Valid 7: 0.79744 	 r2: 0.20705
Train 8: 0.81412 	 r2: 0.24620
Valid 8: 0.79649 	 r2: 0.20719
Train 9: 0.81552 	 r2: 0.24896
Valid 9: 0.79460 	 r2: 0.20439
Finish: (0.8000776252307258, 0.21505481583144537)
Test 10: 0.80651 	 r2: 0.22594
Train 1: 0.75672 	 r2: 0.14099
Valid 1: 0.79171 	 r2: 0.19437
Train 2: 0.79717 	 r2: 0.21056
Valid 2: 0.79980 	 r2: 0.21263
Train 3: 0.80383 	 r2: 0.22437
Valid 3: 0.80094 	 r2: 0.21663
Train 4: 0.80710 	 r2: 0.23052
Valid 4: 0.80107 	 r2: 0.21841
Train 5: 0.80963 	 r2: 0.23567
Valid 5: 0.80076 	 r2: 0.21796
Train 6: 0.81160 	 r2: 0.23993
Valid 6: 0.80054 	 r2: 0.21734
Train 7: 0.81316 	 r2: 0.24319
Valid 7: 0.80010 	 r2: 0.21554
Train 8: 0.81490 	 r2: 0.24669
Valid 8: 0.79836 	 r2: 0.21078
Train 9: 0.81634 	 r2: 0.24951
Valid 9: 0.79757 	 r2: 0.20909
Finish: (0.8010700854720013, 0.21840564142226493)
Test 10: 0.80791 	 r2: 0.22841
N: 30; d: 20
Train 1: 0.73791 	 r2: 0.10592
Valid 1: 0.77804 	 r2: 0.16695
Train 2: 0.78713 	 r2: 0.19140
Valid 2: 0.79535 	 r2: 0.20348
Train 3: 0.79887 	 r2: 0.21447
Valid 3: 0.79825 	 r2: 0.20421
Train 4: 0.80247 	 r2: 0.22152
Valid 4: 0.79961 	 r2: 0.21152
Train 5: 0.80451 	 r2: 0.22579
Valid 5: 0.79959 	 r2: 0.21190
Train 6: 0.80616 	 r2: 0.22936
Valid 6: 0.79960 	 r2: 0.21215
Train 7: 0.80740 	 r2: 0.23200
Valid 7: 0.79945 	 r2: 0.21207
Train 8: 0.80876 	 r2: 0.23487
Valid 8: 0.79896 	 r2: 0.21031
Train 9: 0.80904 	 r2: 0.23568
Valid 9: 0.79929 	 r2: 0.21164
Finish: (0.7996078321106475, 0.21151535605891558)
Test 10: 0.80562 	 r2: 0.22179
Train 1: 0.74980 	 r2: 0.13070
Valid 1: 0.77939 	 r2: 0.16797
Train 2: 0.78961 	 r2: 0.19481
Valid 2: 0.79643 	 r2: 0.20594
Train 3: 0.79953 	 r2: 0.21486
Valid 3: 0.79929 	 r2: 0.21236
Train 4: 0.80228 	 r2: 0.22046
Valid 4: 0.79966 	 r2: 0.21391
Train 5: 0.80438 	 r2: 0.22491
Valid 5: 0.79977 	 r2: 0.21429
Train 6: 0.80611 	 r2: 0.22844
Valid 6: 0.79968 	 r2: 0.21374
Train 7: 0.80746 	 r2: 0.23126
Valid 7: 0.79917 	 r2: 0.21316
Train 8: 0.80873 	 r2: 0.23378
Valid 8: 0.79885 	 r2: 0.21242
Train 9: 0.80979 	 r2: 0.23605
Valid 9: 0.79843 	 r2: 0.21145
Train 10: 0.81096 	 r2: 0.23834
Valid 10: 0.79767 	 r2: 0.21024
Finish: (0.7997744627408283, 0.21429268125214873)
Test 11: 0.80646 	 r2: 0.22561
Train 1: 0.74465 	 r2: 0.12133
Valid 1: 0.77881 	 r2: 0.16729
Train 2: 0.78827 	 r2: 0.19311
Valid 2: 0.79509 	 r2: 0.20692
Train 3: 0.79900 	 r2: 0.21519
Valid 3: 0.79856 	 r2: 0.21194
Train 4: 0.80256 	 r2: 0.22212
Valid 4: 0.80005 	 r2: 0.21498
Train 5: 0.80508 	 r2: 0.22710
Valid 5: 0.80036 	 r2: 0.21490
Train 6: 0.80690 	 r2: 0.23096
Valid 6: 0.80069 	 r2: 0.21614
Train 7: 0.80836 	 r2: 0.23390
Valid 7: 0.80010 	 r2: 0.21577
Train 8: 0.80958 	 r2: 0.23644
Valid 8: 0.79968 	 r2: 0.21433
Train 9: 0.81065 	 r2: 0.23870
Valid 9: 0.79901 	 r2: 0.21336
Train 10: 0.81172 	 r2: 0.24079
Valid 10: 0.79825 	 r2: 0.21126
Train 11: 0.81266 	 r2: 0.24283
Valid 11: 0.79734 	 r2: 0.20879
Finish: (0.8006939097198087, 0.21614445017201633)
Test 12: 0.80737 	 r2: 0.22651
Train 1: 0.75093 	 r2: 0.13162
Valid 1: 0.78062 	 r2: 0.17044
Train 2: 0.79050 	 r2: 0.19705
Valid 2: 0.79649 	 r2: 0.20725
Train 3: 0.80012 	 r2: 0.21628
Valid 3: 0.79929 	 r2: 0.21356
Train 4: 0.80367 	 r2: 0.22313
Valid 4: 0.80015 	 r2: 0.21499
Train 5: 0.80601 	 r2: 0.22756
Valid 5: 0.80040 	 r2: 0.21584
Train 6: 0.80780 	 r2: 0.23103
Valid 6: 0.80056 	 r2: 0.21588
Train 7: 0.80919 	 r2: 0.23390
Valid 7: 0.79967 	 r2: 0.21440
Train 8: 0.81034 	 r2: 0.23653
Valid 8: 0.79935 	 r2: 0.21340
Train 9: 0.81143 	 r2: 0.23875
Valid 9: 0.79848 	 r2: 0.21180
Train 10: 0.81237 	 r2: 0.24076
Valid 10: 0.79786 	 r2: 0.21053
Train 11: 0.81318 	 r2: 0.24251
Valid 11: 0.79790 	 r2: 0.20934
Finish: (0.800559646674424, 0.21588272448500134)
Test 12: 0.80754 	 r2: 0.22692
Train 1: 0.72574 	 r2: 0.04937
Valid 1: 0.77632 	 r2: 0.16374
Train 2: 0.78325 	 r2: 0.18339
Valid 2: 0.78998 	 r2: 0.18573
Train 3: 0.79665 	 r2: 0.21051
Valid 3: 0.79691 	 r2: 0.20420
Train 4: 0.80141 	 r2: 0.21991
Valid 4: 0.79923 	 r2: 0.21287
Train 5: 0.80376 	 r2: 0.22467
Valid 5: 0.80015 	 r2: 0.21528
Train 6: 0.80553 	 r2: 0.22821
Valid 6: 0.80055 	 r2: 0.21567
Train 7: 0.80700 	 r2: 0.23115
Valid 7: 0.80045 	 r2: 0.21534
Train 8: 0.80816 	 r2: 0.23367
Valid 8: 0.80004 	 r2: 0.21453
Train 9: 0.80930 	 r2: 0.23611
Valid 9: 0.79979 	 r2: 0.21394
Train 10: 0.81022 	 r2: 0.23815
Valid 10: 0.79905 	 r2: 0.21178
Train 11: 0.81105 	 r2: 0.23994
Valid 11: 0.79864 	 r2: 0.21176
Finish: (0.8005500698445456, 0.21567387861785725)
Test 12: 0.80686 	 r2: 0.22565
Train 1: 0.74636 	 r2: 0.12664
Valid 1: 0.77914 	 r2: 0.16780
Train 2: 0.78808 	 r2: 0.19240
Valid 2: 0.79487 	 r2: 0.19730
Train 3: 0.79925 	 r2: 0.21496
Valid 3: 0.79966 	 r2: 0.21073
Train 4: 0.80264 	 r2: 0.22159
Valid 4: 0.80066 	 r2: 0.21341
Train 5: 0.80500 	 r2: 0.22643
Valid 5: 0.80062 	 r2: 0.21376
Train 6: 0.80686 	 r2: 0.23005
Valid 6: 0.80008 	 r2: 0.21305
Train 7: 0.80819 	 r2: 0.23305
Valid 7: 0.79989 	 r2: 0.21293
Train 8: 0.80937 	 r2: 0.23557
Valid 8: 0.79886 	 r2: 0.21182
Train 9: 0.81041 	 r2: 0.23791
Valid 9: 0.79880 	 r2: 0.21203
Finish: (0.8006564256911205, 0.2134080292893511)
Test 10: 0.80679 	 r2: 0.22407
N: 30; d: 40
Train 1: 0.75533 	 r2: 0.13894
Valid 1: 0.79035 	 r2: 0.19258
Train 2: 0.79491 	 r2: 0.20673
Valid 2: 0.79856 	 r2: 0.21192
Train 3: 0.80207 	 r2: 0.22151
Valid 3: 0.80066 	 r2: 0.21667
Train 4: 0.80573 	 r2: 0.22812
Valid 4: 0.80141 	 r2: 0.21830
Train 5: 0.80788 	 r2: 0.23238
Valid 5: 0.80089 	 r2: 0.21743
Train 6: 0.80979 	 r2: 0.23616
Valid 6: 0.80094 	 r2: 0.21660
Train 7: 0.81139 	 r2: 0.23931
Valid 7: 0.80005 	 r2: 0.21436
Train 8: 0.81290 	 r2: 0.24221
Valid 8: 0.79970 	 r2: 0.21327
Train 9: 0.81395 	 r2: 0.24443
Valid 9: 0.79827 	 r2: 0.20990
Finish: (0.8014061393328256, 0.21830475749004585)
Test 10: 0.80776 	 r2: 0.22852
Train 1: 0.75587 	 r2: 0.13889
Valid 1: 0.78822 	 r2: 0.18425
Train 2: 0.79442 	 r2: 0.20539
Valid 2: 0.79790 	 r2: 0.20978
Train 3: 0.80223 	 r2: 0.22117
Valid 3: 0.80043 	 r2: 0.21578
Train 4: 0.80608 	 r2: 0.22867
Valid 4: 0.80103 	 r2: 0.21743
Train 5: 0.80835 	 r2: 0.23348
Valid 5: 0.80100 	 r2: 0.21694
Train 6: 0.81009 	 r2: 0.23703
Valid 6: 0.79990 	 r2: 0.21427
Train 7: 0.81169 	 r2: 0.24027
Valid 7: 0.79967 	 r2: 0.21382
Train 8: 0.81286 	 r2: 0.24240
Valid 8: 0.79879 	 r2: 0.21230
Train 9: 0.81430 	 r2: 0.24538
Valid 9: 0.79770 	 r2: 0.20954
Finish: (0.8010313842400745, 0.2174302566256957)
Test 10: 0.80789 	 r2: 0.22928
Train 1: 0.75604 	 r2: 0.13837
Valid 1: 0.78783 	 r2: 0.18301
Train 2: 0.79464 	 r2: 0.20516
Valid 2: 0.79898 	 r2: 0.21117
Train 3: 0.80244 	 r2: 0.22086
Valid 3: 0.80066 	 r2: 0.21497
Train 4: 0.80572 	 r2: 0.22724
Valid 4: 0.80087 	 r2: 0.21653
Train 5: 0.80795 	 r2: 0.23200
Valid 5: 0.80096 	 r2: 0.21510
Train 6: 0.80953 	 r2: 0.23515
Valid 6: 0.80044 	 r2: 0.21541
Train 7: 0.81139 	 r2: 0.23890
Valid 7: 0.79961 	 r2: 0.21243
Train 8: 0.81309 	 r2: 0.24209
Valid 8: 0.79950 	 r2: 0.21124
Train 9: 0.81455 	 r2: 0.24481
Valid 9: 0.79579 	 r2: 0.20487
Train 10: 0.81572 	 r2: 0.24738
Valid 10: 0.79620 	 r2: 0.20698
Finish: (0.8009609921802743, 0.21509630066992624)
Test 11: 0.80748 	 r2: 0.22493
Train 1: 0.74399 	 r2: 0.11209
Valid 1: 0.78378 	 r2: 0.17870
Train 2: 0.79250 	 r2: 0.20203
Valid 2: 0.79785 	 r2: 0.21088
Train 3: 0.80138 	 r2: 0.21991
Valid 3: 0.80030 	 r2: 0.21460
Train 4: 0.80501 	 r2: 0.22723
Valid 4: 0.80082 	 r2: 0.21465
Train 5: 0.80740 	 r2: 0.23217
Valid 5: 0.80023 	 r2: 0.21395
Train 6: 0.80926 	 r2: 0.23594
Valid 6: 0.79926 	 r2: 0.21096
Train 7: 0.81072 	 r2: 0.23900
Valid 7: 0.79865 	 r2: 0.21047
