N: 20; d: 20
Valid 10: 0.78873 	 r2: 0.18041
Train 11: 0.80600 	 r2: 0.23356
Valid 11: 0.78911 	 r2: 0.18198
Train 12: 0.80706 	 r2: 0.23567
Valid 12: 0.78882 	 r2: 0.18259
Train 13: 0.80807 	 r2: 0.23764
Valid 13: 0.78707 	 r2: 0.17900
Finish: (0.7903499145292103, 0.18563032403085789)
Test 14: 0.79703 	 r2: 0.19834
Train 1: 0.74010 	 r2: 0.12198
Valid 1: 0.77354 	 r2: 0.16480
Train 2: 0.77768 	 r2: 0.18213
Valid 2: 0.78214 	 r2: 0.18340
Train 3: 0.78500 	 r2: 0.19692
Valid 3: 0.78498 	 r2: 0.18637
Train 4: 0.78962 	 r2: 0.20528
Valid 4: 0.78526 	 r2: 0.18698
Train 5: 0.79315 	 r2: 0.21154
Valid 5: 0.78655 	 r2: 0.18819
Train 6: 0.79648 	 r2: 0.21720
Valid 6: 0.78684 	 r2: 0.18802
Train 7: 0.79922 	 r2: 0.22159
Valid 7: 0.78743 	 r2: 0.18841
Train 8: 0.80107 	 r2: 0.22488
Valid 8: 0.78706 	 r2: 0.18474
Train 9: 0.80254 	 r2: 0.22766
Valid 9: 0.78785 	 r2: 0.18656
Train 10: 0.80419 	 r2: 0.23047
Valid 10: 0.78711 	 r2: 0.18678
Train 11: 0.80547 	 r2: 0.23327
Valid 11: 0.78743 	 r2: 0.18580
Train 12: 0.80637 	 r2: 0.23523
Valid 12: 0.78702 	 r2: 0.18541
Train 13: 0.80777 	 r2: 0.23784
Valid 13: 0.78707 	 r2: 0.18399
Train 14: 0.80838 	 r2: 0.23879
Valid 14: 0.78641 	 r2: 0.18202
Finish: (0.7878515294060248, 0.18655860105022093)
Test 15: 0.79382 	 r2: 0.19567
Train 1: 0.74837 	 r2: 0.13203
Valid 1: 0.77455 	 r2: 0.16472
Train 2: 0.78003 	 r2: 0.18478
Valid 2: 0.78312 	 r2: 0.18283
Train 3: 0.78773 	 r2: 0.19929
Valid 3: 0.78620 	 r2: 0.18777
Train 4: 0.79197 	 r2: 0.20719
Valid 4: 0.78842 	 r2: 0.18919
Train 5: 0.79514 	 r2: 0.21302
Valid 5: 0.78942 	 r2: 0.18985
Train 6: 0.79785 	 r2: 0.21801
Valid 6: 0.78923 	 r2: 0.18733
Train 7: 0.79990 	 r2: 0.22193
Valid 7: 0.78883 	 r2: 0.18492
Train 8: 0.80157 	 r2: 0.22492
Valid 8: 0.78862 	 r2: 0.18660
Train 9: 0.80310 	 r2: 0.22805
Valid 9: 0.78871 	 r2: 0.18298
Train 10: 0.80468 	 r2: 0.23081
Valid 10: 0.78863 	 r2: 0.18417
Finish: (0.7894231904569974, 0.18984973895093304)
Test 11: 0.79572 	 r2: 0.20139
Train 1: 0.74783 	 r2: 0.13152
Valid 1: 0.77438 	 r2: 0.16680
Train 2: 0.77900 	 r2: 0.18290
Valid 2: 0.78220 	 r2: 0.18378
Train 3: 0.78595 	 r2: 0.19725
