N: 1; d: 20
Train 3: 0.79325 	 r2: 0.21083
Valid 3: 0.76288 	 r2: 0.16981
Train 4: 0.79648 	 r2: 0.21512
Valid 4: 0.76699 	 r2: 0.17462
Train 5: 0.80475 	 r2: 0.22538
Valid 5: 0.77693 	 r2: 0.18742
Train 6: 0.81500 	 r2: 0.23998
Valid 6: 0.78398 	 r2: 0.19587
Train 7: 0.82074 	 r2: 0.24869
Valid 7: 0.79013 	 r2: 0.20272
Train 8: 0.82558 	 r2: 0.25558
Valid 8: 0.79435 	 r2: 0.20743
Train 9: 0.83042 	 r2: 0.26255
Valid 9: 0.79838 	 r2: 0.21219
Train 10: 0.83499 	 r2: 0.26954
Valid 10: 0.80316 	 r2: 0.21898
Train 11: 0.83993 	 r2: 0.27779
Valid 11: 0.80660 	 r2: 0.22514
Train 12: 0.84373 	 r2: 0.28511
Valid 12: 0.80717 	 r2: 0.22640
Train 13: 0.84733 	 r2: 0.29229
Valid 13: 0.80874 	 r2: 0.23054
Train 14: 0.85093 	 r2: 0.30004
Valid 14: 0.81010 	 r2: 0.23281
Train 15: 0.85375 	 r2: 0.30646
Valid 15: 0.81001 	 r2: 0.23300
Train 16: 0.85628 	 r2: 0.31249
Valid 16: 0.80829 	 r2: 0.23067
Train 17: 0.85699 	 r2: 0.31515
Valid 17: 0.80652 	 r2: 0.22817
Train 18: 0.85632 	 r2: 0.31466
Valid 18: 0.80988 	 r2: 0.23128
Train 19: 0.85934 	 r2: 0.32131
Valid 19: 0.81024 	 r2: 0.23299
Train 20: 0.86333 	 r2: 0.32966
Valid 20: 0.80957 	 r2: 0.23075
Train 21: 0.86597 	 r2: 0.33610
Valid 21: 0.80986 	 r2: 0.23045
Train 22: 0.86838 	 r2: 0.34239
Valid 22: 0.81035 	 r2: 0.23158
Train 23: 0.86715 	 r2: 0.34013
Valid 23: 0.80830 	 r2: 0.22756
Train 24: 0.87058 	 r2: 0.34792
Valid 24: 0.80786 	 r2: 0.22517
Train 25: 0.87319 	 r2: 0.35451
Valid 25: 0.80760 	 r2: 0.22463
Train 26: 0.87521 	 r2: 0.35964
Valid 26: 0.80741 	 r2: 0.22327
Train 27: 0.87703 	 r2: 0.36416
Valid 27: 0.80657 	 r2: 0.22018
Finish: (0.8103456587016374, 0.2315802785145481)
Test 28: 0.82570 	 r2: 0.25247
N: 1; d: 40
Train 1: 0.68165 	 r2: -0.00274
Valid 1: 0.75720 	 r2: 0.14707
Train 2: 0.78531 	 r2: 0.19803
Valid 2: 0.76205 	 r2: 0.17043
Train 3: 0.79472 	 r2: 0.21220
Valid 3: 0.76898 	 r2: 0.17617
Train 4: 0.80661 	 r2: 0.22767
Valid 4: 0.77864 	 r2: 0.18860
Train 5: 0.81457 	 r2: 0.24012
Valid 5: 0.78292 	 r2: 0.19368
Train 6: 0.82036 	 r2: 0.24879
Valid 6: 0.78993 	 r2: 0.20215
Train 7: 0.82623 	 r2: 0.25702
Valid 7: 0.79437 	 r2: 0.20670
Train 8: 0.83300 	 r2: 0.26754
Valid 8: 0.80273 	 r2: 0.21981
Train 9: 0.84040 	 r2: 0.27994
Valid 9: 0.80810 	 r2: 0.22890
Train 10: 0.84660 	 r2: 0.29189
