N: 1; d: 20
Valid 2: 0.73008 	 r2: 0.13195
Train 3: 0.73263 	 r2: 0.13627
Valid 3: 0.73053 	 r2: 0.13267
Train 4: 0.73732 	 r2: 0.14233
Valid 4: 0.72914 	 r2: 0.13054
Train 5: 0.74183 	 r2: 0.14811
Valid 5: 0.72730 	 r2: 0.12706
Train 6: 0.74655 	 r2: 0.15420
Valid 6: 0.72494 	 r2: 0.12336
Train 7: 0.75174 	 r2: 0.16117
Valid 7: 0.72172 	 r2: 0.11871
Train 8: 0.75670 	 r2: 0.16779
Valid 8: 0.71757 	 r2: 0.11147
Finish: (0.7305265085992232, 0.13266679806778126)
Test 9: 0.72652 	 r2: 0.12802
Train 1: 0.69854 	 r2: 0.09675
Valid 1: 0.72550 	 r2: 0.12664
Train 2: 0.72667 	 r2: 0.12862
Valid 2: 0.72925 	 r2: 0.13068
Train 3: 0.73228 	 r2: 0.13578
Valid 3: 0.72980 	 r2: 0.13125
Train 4: 0.73692 	 r2: 0.14170
Valid 4: 0.72866 	 r2: 0.13023
Train 5: 0.74181 	 r2: 0.14775
Valid 5: 0.72707 	 r2: 0.12799
Train 6: 0.74618 	 r2: 0.15334
Valid 6: 0.72336 	 r2: 0.12283
Train 7: 0.75081 	 r2: 0.15942
Valid 7: 0.72116 	 r2: 0.11770
Train 8: 0.75557 	 r2: 0.16587
Valid 8: 0.71628 	 r2: 0.11053
Finish: (0.7297981928302879, 0.1312503086639909)
Test 9: 0.72717 	 r2: 0.12878
Train 1: 0.69941 	 r2: 0.09783
Valid 1: 0.72682 	 r2: 0.12792
Train 2: 0.72690 	 r2: 0.12900
Valid 2: 0.73059 	 r2: 0.13327
Train 3: 0.73276 	 r2: 0.13642
Valid 3: 0.72987 	 r2: 0.13211
Train 4: 0.73715 	 r2: 0.14209
Valid 4: 0.72780 	 r2: 0.12899
Train 5: 0.74143 	 r2: 0.14758
Valid 5: 0.72502 	 r2: 0.12422
Train 6: 0.74564 	 r2: 0.15306
Valid 6: 0.72165 	 r2: 0.11883
Train 7: 0.74999 	 r2: 0.15898
Valid 7: 0.71824 	 r2: 0.11235
Finish: (0.730589481044829, 0.13327425186390562)
Test 8: 0.72817 	 r2: 0.13028
Train 1: 0.69704 	 r2: 0.09519
Valid 1: 0.72614 	 r2: 0.12716
Train 2: 0.72660 	 r2: 0.12865
Valid 2: 0.73082 	 r2: 0.13293
Train 3: 0.73237 	 r2: 0.13599
Valid 3: 0.73035 	 r2: 0.13242
Train 4: 0.73670 	 r2: 0.14152
Valid 4: 0.72830 	 r2: 0.12983
Train 5: 0.74116 	 r2: 0.14715
Valid 5: 0.72567 	 r2: 0.12523
Train 6: 0.74586 	 r2: 0.15319
Valid 6: 0.72132 	 r2: 0.11681
Train 7: 0.75006 	 r2: 0.15869
Valid 7: 0.71995 	 r2: 0.11425
Finish: (0.7308169566560723, 0.13293450910174076)
Test 8: 0.72734 	 r2: 0.12904
Train 1: 0.69882 	 r2: 0.09727
Valid 1: 0.72744 	 r2: 0.12898
Train 2: 0.72682 	 r2: 0.12883
Valid 2: 0.73047 	 r2: 0.13262
Train 3: 0.73223 	 r2: 0.13565
Valid 3: 0.73088 	 r2: 0.13295
Train 4: 0.73655 	 r2: 0.14117
Valid 4: 0.72936 	 r2: 0.13068
Train 5: 0.74094 	 r2: 0.14685
Valid 5: 0.72635 	 r2: 0.12637
Train 6: 0.74547 	 r2: 0.15274
Valid 6: 0.72231 	 r2: 0.12111
Train 7: 0.75031 	 r2: 0.15909
Valid 7: 0.71753 	 r2: 0.11446
Train 8: 0.75542 	 r2: 0.16580
Valid 8: 0.71532 	 r2: 0.10851
Finish: (0.7308832594518968, 0.13294677147668532)
Test 9: 0.72727 	 r2: 0.12905
N: 1; d: 160
Train 1: 0.69984 	 r2: 0.09806
Valid 1: 0.72650 	 r2: 0.12724
Train 2: 0.72718 	 r2: 0.12935
Valid 2: 0.72897 	 r2: 0.13078
Train 3: 0.73285 	 r2: 0.13651
Valid 3: 0.72799 	 r2: 0.12936
Train 4: 0.73752 	 r2: 0.14249
Valid 4: 0.72555 	 r2: 0.12584
Train 5: 0.74236 	 r2: 0.14869
Valid 5: 0.72304 	 r2: 0.12168
Train 6: 0.74717 	 r2: 0.15492
Valid 6: 0.71933 	 r2: 0.11617
Train 7: 0.75303 	 r2: 0.16278
Valid 7: 0.71397 	 r2: 0.10808
Finish: (0.7289726106819446, 0.13077562721439706)
Test 8: 0.72623 	 r2: 0.12806
Train 1: 0.70025 	 r2: 0.09849
Valid 1: 0.72708 	 r2: 0.12842
Train 2: 0.72669 	 r2: 0.12883
Valid 2: 0.73002 	 r2: 0.13201
Train 3: 0.73243 	 r2: 0.13603
Valid 3: 0.73030 	 r2: 0.13219
Train 4: 0.73758 	 r2: 0.14252
Valid 4: 0.72856 	 r2: 0.12936
Train 5: 0.74237 	 r2: 0.14868
Valid 5: 0.72527 	 r2: 0.12452
Train 6: 0.74715 	 r2: 0.15506
Valid 6: 0.72224 	 r2: 0.11990
Train 7: 0.75256 	 r2: 0.16198
Valid 7: 0.71713 	 r2: 0.11241
Train 8: 0.75725 	 r2: 0.16818
Valid 8: 0.71314 	 r2: 0.10409
Finish: (0.7303001988018827, 0.13219055279741987)
Test 9: 0.72710 	 r2: 0.12884
Train 1: 0.70170 	 r2: 0.10017
Valid 1: 0.72721 	 r2: 0.12837
Train 2: 0.72679 	 r2: 0.12907
Valid 2: 0.73049 	 r2: 0.13247
Train 3: 0.73256 	 r2: 0.13619
Valid 3: 0.72944 	 r2: 0.13146
Train 4: 0.73733 	 r2: 0.14232
Valid 4: 0.72762 	 r2: 0.12863
Train 5: 0.74179 	 r2: 0.14802
Valid 5: 0.72369 	 r2: 0.12343
Train 6: 0.74730 	 r2: 0.15495
Valid 6: 0.72116 	 r2: 0.11818
Train 7: 0.75245 	 r2: 0.16195
Valid 7: 0.71941 	 r2: 0.11375
Finish: (0.7304917787607151, 0.13246976128071009)
Test 8: 0.72776 	 r2: 0.12927
Train 1: 0.70036 	 r2: 0.09874
Valid 1: 0.72712 	 r2: 0.12850
Train 2: 0.72659 	 r2: 0.12868
Valid 2: 0.73008 	 r2: 0.13207
Train 3: 0.73258 	 r2: 0.13627
Valid 3: 0.72906 	 r2: 0.13079
Train 4: 0.73750 	 r2: 0.14239
Valid 4: 0.72770 	 r2: 0.12856
Train 5: 0.74247 	 r2: 0.14874
Valid 5: 0.72453 	 r2: 0.12423
Train 6: 0.74813 	 r2: 0.15615
Valid 6: 0.72130 	 r2: 0.11923
Train 7: 0.75370 	 r2: 0.16355
Valid 7: 0.71713 	 r2: 0.11248
Finish: (0.7300827116902806, 0.13206581103114012)
Test 8: 0.72689 	 r2: 0.12881
Train 1: 0.70020 	 r2: 0.09855
Valid 1: 0.72678 	 r2: 0.12833
Train 2: 0.72697 	 r2: 0.12920
Valid 2: 0.72957 	 r2: 0.13150
Train 3: 0.73298 	 r2: 0.13667
Valid 3: 0.72887 	 r2: 0.13080
Train 4: 0.73778 	 r2: 0.14282
Valid 4: 0.72722 	 r2: 0.12891
Train 5: 0.74286 	 r2: 0.14937
Valid 5: 0.72418 	 r2: 0.12362
Train 6: 0.74809 	 r2: 0.15606
Valid 6: 0.71955 	 r2: 0.11635
Train 7: 0.75310 	 r2: 0.16260
Valid 7: 0.71567 	 r2: 0.10904
Finish: (0.7295694522344296, 0.13150056124140796)
Test 8: 0.72623 	 r2: 0.12819
Train 1: 0.70118 	 r2: 0.09951
Valid 1: 0.72676 	 r2: 0.12807
Train 2: 0.72639 	 r2: 0.12855
Valid 2: 0.72902 	 r2: 0.13101
Train 3: 0.73192 	 r2: 0.13553
Valid 3: 0.72884 	 r2: 0.13059
Train 4: 0.73643 	 r2: 0.14121
Valid 4: 0.72748 	 r2: 0.12790
Train 5: 0.74119 	 r2: 0.14724
Valid 5: 0.72518 	 r2: 0.12449
Train 6: 0.74599 	 r2: 0.15347
Valid 6: 0.72269 	 r2: 0.12064
Train 7: 0.75114 	 r2: 0.16029
Valid 7: 0.71834 	 r2: 0.11396
Finish: (0.7290220933596783, 0.13100710186479203)
Test 8: 0.72580 	 r2: 0.12745
