N: 20; d: 20
Train 11: 0.82621 	 r2: 0.32448
Valid 11: 0.82591 	 r2: 0.32566
Train 12: 0.82719 	 r2: 0.32613
Valid 12: 0.82606 	 r2: 0.32585
Train 13: 0.82799 	 r2: 0.32751
Valid 13: 0.82622 	 r2: 0.32612
Train 14: 0.82882 	 r2: 0.32893
Valid 14: 0.82653 	 r2: 0.32651
Train 15: 0.82974 	 r2: 0.33043
Valid 15: 0.82677 	 r2: 0.32682
Train 16: 0.83057 	 r2: 0.33177
Valid 16: 0.82695 	 r2: 0.32670
Train 17: 0.83140 	 r2: 0.33312
Valid 17: 0.82702 	 r2: 0.32677
Train 18: 0.83220 	 r2: 0.33446
Valid 18: 0.82712 	 r2: 0.32687
Train 19: 0.83287 	 r2: 0.33558
Valid 19: 0.82711 	 r2: 0.32685
Train 20: 0.83346 	 r2: 0.33662
Valid 20: 0.82714 	 r2: 0.32692
Train 21: 0.83417 	 r2: 0.33780
Valid 21: 0.82709 	 r2: 0.32665
Train 22: 0.83479 	 r2: 0.33888
Valid 22: 0.82696 	 r2: 0.32633
Train 23: 0.83553 	 r2: 0.34012
Valid 23: 0.82682 	 r2: 0.32578
Train 24: 0.83622 	 r2: 0.34130
Valid 24: 0.82686 	 r2: 0.32567
Train 25: 0.83685 	 r2: 0.34244
Valid 25: 0.82682 	 r2: 0.32551
Finish: (0.8271401917599004, 0.32691856728897617)
Test 26: 0.82317 	 r2: 0.31806
Train 1: 0.64456 	 r2: 0.06088
Valid 1: 0.69732 	 r2: 0.11513
Train 2: 0.76194 	 r2: 0.20754
Valid 2: 0.80499 	 r2: 0.28782
Train 3: 0.80965 	 r2: 0.29605
Valid 3: 0.81657 	 r2: 0.31255
Train 4: 0.81478 	 r2: 0.30548
Valid 4: 0.81928 	 r2: 0.31687
Train 5: 0.81730 	 r2: 0.30989
Valid 5: 0.82013 	 r2: 0.31748
Train 6: 0.81902 	 r2: 0.31273
Valid 6: 0.82064 	 r2: 0.31690
Train 7: 0.82044 	 r2: 0.31505
Valid 7: 0.82087 	 r2: 0.31549
Train 8: 0.82233 	 r2: 0.31804
Valid 8: 0.82209 	 r2: 0.31773
Train 9: 0.82369 	 r2: 0.32026
Valid 9: 0.82317 	 r2: 0.31922
Train 10: 0.82493 	 r2: 0.32222
Valid 10: 0.82396 	 r2: 0.32068
Train 11: 0.82608 	 r2: 0.32412
Valid 11: 0.82481 	 r2: 0.32177
Train 12: 0.82725 	 r2: 0.32592
Valid 12: 0.82514 	 r2: 0.32209
Train 13: 0.82837 	 r2: 0.32775
Valid 13: 0.82580 	 r2: 0.32352
Train 14: 0.82943 	 r2: 0.32939
Valid 14: 0.82619 	 r2: 0.32390
Train 15: 0.83064 	 r2: 0.33134
Valid 15: 0.82662 	 r2: 0.32481
Train 16: 0.83164 	 r2: 0.33298
Valid 16: 0.82696 	 r2: 0.32532
Train 17: 0.83256 	 r2: 0.33462
Valid 17: 0.82717 	 r2: 0.32598
Train 18: 0.83334 	 r2: 0.33598
Valid 18: 0.82715 	 r2: 0.32595
Train 19: 0.83406 	 r2: 0.33726
Valid 19: 0.82746 	 r2: 0.32628
Train 20: 0.83467 	 r2: 0.33836
Valid 20: 0.82741 	 r2: 0.32625
Train 21: 0.83543 	 r2: 0.33973
Valid 21: 0.82743 	 r2: 0.32629
Train 22: 0.83607 	 r2: 0.34090
Valid 22: 0.82730 	 r2: 0.32590
Train 23: 0.83663 	 r2: 0.34191
Valid 23: 0.82734 	 r2: 0.32580
Train 24: 0.83728 	 r2: 0.34309
Valid 24: 0.82730 	 r2: 0.32579
Finish: (0.8274633533355292, 0.3262766156805338)
Test 25: 0.82206 	 r2: 0.31509
N: 20; d: 40
Train 1: 0.67445 	 r2: 0.09119
Valid 1: 0.77881 	 r2: 0.22950
Train 2: 0.80131 	 r2: 0.28065
