N: 20; d: 20
Train 12: 0.86230 	 r2: 0.33100
Valid 12: 0.81983 	 r2: 0.24429
Train 13: 0.85801 	 r2: 0.32075
Valid 13: 0.82061 	 r2: 0.25021
Train 14: 0.86441 	 r2: 0.33589
Valid 14: 0.81994 	 r2: 0.24069
Finish: (0.8209658081338227, 0.2485983842941195)
Test 15: 0.83333 	 r2: 0.26426
Train 1: 0.73198 	 r2: 0.12771
Valid 1: 0.75975 	 r2: 0.15625
Train 2: 0.78951 	 r2: 0.20662
Valid 2: 0.76447 	 r2: 0.16982
Train 3: 0.80408 	 r2: 0.22624
Valid 3: 0.79006 	 r2: 0.19384
Train 4: 0.82572 	 r2: 0.25840
Valid 4: 0.81107 	 r2: 0.23463
Train 5: 0.83781 	 r2: 0.27961
Valid 5: 0.81562 	 r2: 0.24288
Train 6: 0.84603 	 r2: 0.29574
Valid 6: 0.81811 	 r2: 0.24475
Train 7: 0.85109 	 r2: 0.30673
Valid 7: 0.81899 	 r2: 0.24712
Train 8: 0.85446 	 r2: 0.31411
Valid 8: 0.81700 	 r2: 0.24713
Train 9: 0.85109 	 r2: 0.30621
Valid 9: 0.81322 	 r2: 0.22756
Train 10: 0.85522 	 r2: 0.31607
Valid 10: 0.81760 	 r2: 0.24037
Train 11: 0.86061 	 r2: 0.32725
Valid 11: 0.81815 	 r2: 0.24406
Train 12: 0.86396 	 r2: 0.33495
Valid 12: 0.81650 	 r2: 0.24232
Finish: (0.8189944505366697, 0.24711736585264144)
Test 13: 0.83356 	 r2: 0.26619
Train 1: 0.74718 	 r2: 0.14309
Valid 1: 0.75934 	 r2: 0.14450
Train 2: 0.78871 	 r2: 0.20567
Valid 2: 0.76559 	 r2: 0.16937
Train 3: 0.80586 	 r2: 0.22829
Valid 3: 0.79354 	 r2: 0.19475
Train 4: 0.82624 	 r2: 0.25897
Valid 4: 0.81202 	 r2: 0.23297
Train 5: 0.83885 	 r2: 0.28114
Valid 5: 0.81851 	 r2: 0.24562
Train 6: 0.84703 	 r2: 0.29796
Valid 6: 0.81980 	 r2: 0.24937
Train 7: 0.85188 	 r2: 0.30830
Valid 7: 0.81909 	 r2: 0.24933
Train 8: 0.85511 	 r2: 0.31540
Valid 8: 0.81971 	 r2: 0.24800
Train 9: 0.85741 	 r2: 0.32065
Valid 9: 0.81924 	 r2: 0.24064
Train 10: 0.85763 	 r2: 0.32079
Valid 10: 0.81595 	 r2: 0.24203
Train 11: 0.86076 	 r2: 0.32811
Valid 11: 0.81767 	 r2: 0.24342
Finish: (0.8198011476366225, 0.24936660849826353)
Test 12: 0.83269 	 r2: 0.26508
Train 1: 0.74650 	 r2: 0.14159
Valid 1: 0.76014 	 r2: 0.14166
Train 2: 0.78891 	 r2: 0.20588
Valid 2: 0.76660 	 r2: 0.17194
Train 3: 0.80811 	 r2: 0.22979
Valid 3: 0.79277 	 r2: 0.19913
Train 4: 0.82589 	 r2: 0.25853
Valid 4: 0.81126 	 r2: 0.22442
Train 5: 0.83624 	 r2: 0.27577
Valid 5: 0.81579 	 r2: 0.23947
Train 6: 0.84469 	 r2: 0.29253
Valid 6: 0.82000 	 r2: 0.24937
Train 7: 0.85100 	 r2: 0.30599
Valid 7: 0.82099 	 r2: 0.25266
Train 8: 0.85567 	 r2: 0.31620
Valid 8: 0.82125 	 r2: 0.25372
Train 9: 0.85838 	 r2: 0.32206
Valid 9: 0.81982 	 r2: 0.25197
Train 10: 0.85715 	 r2: 0.31917
Valid 10: 0.81917 	 r2: 0.24529
Train 11: 0.85969 	 r2: 0.32522
Valid 11: 0.81841 	 r2: 0.24520
Train 12: 0.86380 	 r2: 0.33455
Valid 12: 0.81961 	 r2: 0.24870
Train 13: 0.86682 	 r2: 0.34176
Valid 13: 0.81920 	 r2: 0.24801
Finish: (0.821251902820804, 0.2537190469698172)
Test 14: 0.83530 	 r2: 0.27084
Train 1: 0.68938 	 r2: 0.00825
Valid 1: 0.75902 	 r2: 0.13640
Train 2: 0.78522 	 r2: 0.19914
Valid 2: 0.76235 	 r2: 0.16749
Train 3: 0.79630 	 r2: 0.21590
Valid 3: 0.77342 	 r2: 0.18128
Train 4: 0.81431 	 r2: 0.24225
Valid 4: 0.79686 	 r2: 0.20184
Train 5: 0.82979 	 r2: 0.26593
Valid 5: 0.81400 	 r2: 0.23995
Train 6: 0.84222 	 r2: 0.28853
Valid 6: 0.81977 	 r2: 0.25126
Train 7: 0.85017 	 r2: 0.30541
Valid 7: 0.82156 	 r2: 0.25331
Train 8: 0.85492 	 r2: 0.31591
Valid 8: 0.82219 	 r2: 0.25340
Train 9: 0.85889 	 r2: 0.32479
Valid 9: 0.82094 	 r2: 0.25067
Train 10: 0.86021 	 r2: 0.32745
Valid 10: 0.81880 	 r2: 0.23949
Train 11: 0.86126 	 r2: 0.32976
Valid 11: 0.81801 	 r2: 0.24342
Train 12: 0.86595 	 r2: 0.34156
Valid 12: 0.81905 	 r2: 0.24320
Train 13: 0.86844 	 r2: 0.34728
Valid 13: 0.81801 	 r2: 0.24007
Finish: (0.8221853312366837, 0.25340443378830113)
Test 14: 0.83584 	 r2: 0.27172
Train 1: 0.63414 	 r2: -0.04260
Valid 1: 0.75705 	 r2: 0.16522
Train 2: 0.78660 	 r2: 0.20182
Valid 2: 0.76150 	 r2: 0.16966
Train 3: 0.79537 	 r2: 0.21496
Valid 3: 0.76940 	 r2: 0.17895
Train 4: 0.80835 	 r2: 0.23367
Valid 4: 0.78523 	 r2: 0.19838
Train 5: 0.82607 	 r2: 0.26004
Valid 5: 0.81059 	 r2: 0.23096
Train 6: 0.83933 	 r2: 0.28343
Valid 6: 0.81902 	 r2: 0.24955
Train 7: 0.84868 	 r2: 0.30238
Valid 7: 0.82177 	 r2: 0.25413
Train 8: 0.85331 	 r2: 0.31262
Valid 8: 0.82236 	 r2: 0.25468
Train 9: 0.85598 	 r2: 0.31855
Valid 9: 0.82078 	 r2: 0.24714
Train 10: 0.85698 	 r2: 0.32042
Valid 10: 0.81849 	 r2: 0.24799
Train 11: 0.86105 	 r2: 0.33075
Valid 11: 0.81943 	 r2: 0.24552
Train 12: 0.86401 	 r2: 0.33778
Valid 12: 0.81785 	 r2: 0.23993
Train 13: 0.86467 	 r2: 0.33909
Valid 13: 0.81684 	 r2: 0.23387
Finish: (0.8223553922827351, 0.25468190734564633)
Test 14: 0.83564 	 r2: 0.27144
N: 20; d: 60
Train 1: 0.70467 	 r2: 0.07141
Valid 1: 0.75980 	 r2: 0.15238
Train 2: 0.78750 	 r2: 0.20223
Valid 2: 0.77335 	 r2: 0.17642
Train 3: 0.81360 	 r2: 0.23882
Valid 3: 0.80326 	 r2: 0.21838
Train 4: 0.83193 	 r2: 0.26828
Valid 4: 0.81584 	 r2: 0.24373
Train 5: 0.84128 	 r2: 0.28566
Valid 5: 0.82029 	 r2: 0.25100
Train 6: 0.84779 	 r2: 0.29984
Valid 6: 0.82295 	 r2: 0.25407
Train 7: 0.85264 	 r2: 0.31083
Valid 7: 0.82297 	 r2: 0.25443
Train 8: 0.85350 	 r2: 0.31288
Valid 8: 0.82197 	 r2: 0.25333
Train 9: 0.85359 	 r2: 0.31285
Valid 9: 0.81661 	 r2: 0.23658
Train 10: 0.85960 	 r2: 0.32567
Valid 10: 0.81987 	 r2: 0.24651
Train 11: 0.86419 	 r2: 0.33643
Valid 11: 0.81912 	 r2: 0.24222
Train 12: 0.86714 	 r2: 0.34320
Valid 12: 0.81806 	 r2: 0.23797
Finish: (0.82297277133696, 0.2544340880865362)
Test 13: 0.83503 	 r2: 0.26897
Train 1: 0.73087 	 r2: 0.08850
Valid 1: 0.75953 	 r2: 0.14914
Train 2: 0.78735 	 r2: 0.20390
Valid 2: 0.76447 	 r2: 0.16850
Train 3: 0.80391 	 r2: 0.22651
Valid 3: 0.78831 	 r2: 0.19636
Train 4: 0.82750 	 r2: 0.26195
Valid 4: 0.81434 	 r2: 0.24324
Train 5: 0.84222 	 r2: 0.28917
Valid 5: 0.81926 	 r2: 0.25239
Train 6: 0.84963 	 r2: 0.30462
Valid 6: 0.81971 	 r2: 0.25100
Train 7: 0.85401 	 r2: 0.31414
Valid 7: 0.82064 	 r2: 0.24753
Train 8: 0.85536 	 r2: 0.31655
Valid 8: 0.81810 	 r2: 0.24354
Train 9: 0.85681 	 r2: 0.32056
Valid 9: 0.81774 	 r2: 0.24103
Train 10: 0.86063 	 r2: 0.32854
Valid 10: 0.81792 	 r2: 0.24165
Train 11: 0.86510 	 r2: 0.33943
Valid 11: 0.81876 	 r2: 0.24418
Train 12: 0.86873 	 r2: 0.34799
Valid 12: 0.81869 	 r2: 0.24105
Finish: (0.8206436517384343, 0.24753352636459947)
Test 13: 0.83440 	 r2: 0.26551
Train 1: 0.73515 	 r2: 0.13168
Valid 1: 0.75831 	 r2: 0.15575
Train 2: 0.78348 	 r2: 0.19740
Valid 2: 0.76675 	 r2: 0.17168
Train 3: 0.80944 	 r2: 0.23459
Valid 3: 0.79883 	 r2: 0.20746
Train 4: 0.82870 	 r2: 0.26346
Valid 4: 0.81203 	 r2: 0.23513
Train 5: 0.83956 	 r2: 0.28176
Valid 5: 0.81634 	 r2: 0.24289
Train 6: 0.84722 	 r2: 0.29723
Valid 6: 0.81957 	 r2: 0.24879
Train 7: 0.85270 	 r2: 0.30921
Valid 7: 0.82065 	 r2: 0.25045
Train 8: 0.85762 	 r2: 0.31987
Valid 8: 0.82149 	 r2: 0.25020
Train 9: 0.86130 	 r2: 0.32782
Valid 9: 0.82127 	 r2: 0.24869
Train 10: 0.86334 	 r2: 0.33194
Valid 10: 0.81826 	 r2: 0.24567
Train 11: 0.86268 	 r2: 0.32997
Valid 11: 0.81990 	 r2: 0.24191
Train 12: 0.86428 	 r2: 0.33379
Valid 12: 0.81872 	 r2: 0.24450
Train 13: 0.87083 	 r2: 0.34945
Valid 13: 0.81749 	 r2: 0.23642
Finish: (0.8214922451037553, 0.2502019193822105)
Test 14: 0.83426 	 r2: 0.26640
Train 1: 0.75531 	 r2: 0.15490
Valid 1: 0.75814 	 r2: 0.15599
Train 2: 0.78826 	 r2: 0.20382
Valid 2: 0.77370 	 r2: 0.18160
Train 3: 0.82076 	 r2: 0.25105
Valid 3: 0.80981 	 r2: 0.23363
Train 4: 0.83609 	 r2: 0.27592
Valid 4: 0.81436 	 r2: 0.24286
Train 5: 0.84466 	 r2: 0.29227
Valid 5: 0.81814 	 r2: 0.24471
Train 6: 0.85062 	 r2: 0.30438
Valid 6: 0.81762 	 r2: 0.24418
Train 7: 0.85399 	 r2: 0.31212
Valid 7: 0.81697 	 r2: 0.24411
Train 8: 0.85453 	 r2: 0.31323
Valid 8: 0.81823 	 r2: 0.24493
Train 9: 0.85747 	 r2: 0.31925
Valid 9: 0.81530 	 r2: 0.23791
Train 10: 0.86026 	 r2: 0.32460
Valid 10: 0.81784 	 r2: 0.24576
Train 11: 0.86178 	 r2: 0.32836
Valid 11: 0.81636 	 r2: 0.24150
Train 12: 0.86199 	 r2: 0.32973
Valid 12: 0.81331 	 r2: 0.22365
Train 13: 0.85724 	 r2: 0.31739
